"Titulo","Valor","Link"
"Playstation 4 slim 1 tb!!!!","R$ 1.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1-tb-820133714"
"PS3 - Play 3 - Playstation 3","R$ 120","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/ps3-play-3-playstation-3-820158119"
"Playstation com cd's de jogos por 600 reais","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-com-cd-s-de-jogos-por-600-reais-820108109"
"Playstation 3 com 2 controles e 3 jogos ","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-com-2-controles-e-3-jogos-821600616"
"Jogo Playstation 4 (PS4) - Marvel Avengers","R$ 110","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-playstation-4-ps4-marvel-avengers-817200632"
"PlayStation 5 novo com 2 Controles.    PS5","R$ 6.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-novo-com-2-controles--ps5-821449046"
"Playstation 4","R$ 2.799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-818935221"
"Playstation 4 e Xbox One S ","R$ 2.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-e-xbox-one-s-819982420"
"Kit Óculos PlayStation VR Zvr2","R$ 1.600","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/kit-oculos-playstation-vr-zvr2-820015551"
"Jogo Playstation 4 (PS4) - FIFA 20","R$ 150","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-playstation-4-ps4-fifa-20-817195442"
"Dragon quest builders para playstation 4","R$ 120","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/dragon-quest-builders-para-playstation-4-743941155"
"Playstation One com dois controles, com jogos a escolha","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-one-com-dois-controles-com-jogos-a-escolha-817248776"
"PlayStation 3 completo com Jogos até 12x ","R$ 550","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-completo-com-jogos-ate-12x-821124138"
"Playstation 4 Semi Novo de 500 GB","R$ 2.599","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-semi-novo-de-500-gb-821128086"
"Jogos PlayStation 3 (Leia a descrição)","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-playstation-3-leia-a-descricao-819907318"
"Playstation 4","R$ 2.799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-818879146"
"Playstation 4","R$ 2.799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-818879146"
"Console PlayStation 5 Novo/Lacrado ","R$ 7.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/console-playstation-5-novo-lacrado-819808191"
"Base suporte vertical Playstation 3","R$ 40","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/base-suporte-vertical-playstation-3-812957648"
"28 jogos PlayStation 4 e 5","R$ 1.100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/28-jogos-playstation-4-e-5-819804077"
"Jogo de playstation 4 Dragon age inquisition","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-4-dragon-age-inquisition-744347358"
"PlayStation 5","R$ 7.599","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-818820496"
